Q1.2,Q2.1_1,Q2.2,Q2.3,Q2.4,Q2.5_1,Q2.6_1,Q3.2,Q3.2_6_TEXT,Q3.3,Q3.4_1,Q3.5,Q3.5_3_TEXT,Q3.6,Q3.6_5_TEXT,Q3.7,Q3.7_6_TEXT,Q3.8_1,Q3.8_2,Q3.8_3,Q3.9_1,Q3.10,Q3.10_3_TEXT,Q3.11,Q3.12,Q3.12_3_TEXT,Q3.13,Q3.14,Q3.15,Q3.16_1,Q3.16_2,Q3.16_3,Q3.17
Yes,37,Male,Ph.D.,Yes,10,5,"Log Analysis,Reproducing the failing case,Assertion,Text search based tools (e.g., grep).",,No,5,Training the new developers,,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,,"Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,10,,,2,"Developers' IDE,CI/CD pipeline",,"New/junior developers,Experienced/senior developers.","Software Developers,Software Quality Assurance Engineers",,Complex bugs,Both are equally severe.,Line level (the tool will suggest source code lines),2,3,1,Yes
Yes,29,Female,Masters,Yes,3,,Reproducing the failing case,,No,3,Productivity increment,,The tool will have a negative impact on the developer job market.,,Correctness of the tool in bug localization task.,,5,,,2,CI/CD pipeline,,Experienced/senior developers.,Software Developers,,Easy bugs,Both are equally severe.,Line level (the tool will suggest source code lines),2,3,1,Yes
Yes,32,Male,Bachelors,No,11,4,"Reproducing the failing case,Assertion",,No,4,"Productivity increment,Training the new developers",,"The tool will have a negative impact on the developer job market.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,It will deprive the developers from other aspects of development (e.g., satisfaction of solving a problem)",,"Performance concern (e.g.; latency, time to get result from the tool).,Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.,Disclosing proprietary intellectual property (e.g., codebase) to a third party tool.",,9,,,3,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.",Software Developers,,Easy bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),2,3,1,Yes
Yes,36,Male,Bachelors,No,11,4,Reproducing the failing case,,No,4,"Productivity increment,Training the new developers",,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,,"Efforts to integrate to exisiting system.,Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.",,8,,,4,Developers' IDE,,New/junior developers,Software Developers,,Complex bugs,Both are equally severe.,Method level (the tool will suggest method),3,2,1,Yes
Yes,41,Male,Bachelors,No,17,8,"Log Analysis,Reproducing the failing case,Text search based tools (e.g., grep).",,No,4,Training the new developers,,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Efforts to integrate to exisiting system.,Disclosing proprietary intellectual property (e.g., codebase) to a third party tool.,Correctness of the tool in bug localization task.",,8,,,5,CI/CD pipeline,,New/junior developers,Software Developers,,Complex bugs,Both are equally severe.,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,33,Male,Bachelors,Yes,8,3,Reproducing the failing case,,No,3,Productivity increment,,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,,Correctness of the tool in bug localization task.,,7,,,5,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.",Software Developers,,Complex bugs,Marking a buggy file as non-buggy (False negative).,Method level (the tool will suggest method),3,2,1,Yes
Yes,32,Male,Masters,Yes,5,1,"Log Analysis,Reproducing the failing case",,No,4,"Productivity increment,Training the new developers",,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.,Disclosing proprietary intellectual property (e.g., codebase) to a third party tool.,Correctness of the tool in bug localization task.",,7,,,2,CI/CD pipeline,,Experienced/senior developers.,Software Developers,,Easy bugs,Both are equally severe.,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,34,Male,Masters,Yes,6,2,"Log Analysis,Reproducing the failing case,Assertion",,No,4,Training the new developers,,"The tool will not let the developer build their skills.,The tool will have a negative impact on the developer job market.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Efforts to integrate to exisiting system.,Performance concern (e.g.; latency, time to get result from the tool).,Disclosing proprietary intellectual property (e.g., codebase) to a third party tool.,Correctness of the tool in bug localization task.",,5,,,5,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.",Software Developers,,Complex bugs,Both are equally severe.,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,35,Male,Masters,Yes,13,3,"Log Analysis,Reproducing the failing case,Text search based tools (e.g., grep).,Others",Using Sentry,No,3,"Productivity increment,Training the new developers",,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,4,,,3,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.","Software Developers,Software Quality Assurance Engineers",,Easy bugs,Both are equally severe.,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,35,Male,Masters,Yes,8,5,"Reproducing the failing case,Text search based tools (e.g., grep).",,No,4,Training the new developers,,"The tool will not let the developer build their skills.,The tool will have a negative impact on the developer job market.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Performance concern (e.g.; latency, time to get result from the tool).,Disclosing proprietary intellectual property (e.g., codebase) to a third party tool.,Correctness of the tool in bug localization task.",,7,,,5,CI/CD pipeline,,New/junior developers,Software Developers,,Easy bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,34,Male,Bachelors,Yes,7,2,"Reproducing the failing case,Assertion",,Yes,4,"Productivity increment,Training the new developers",,"The tool will not let the developer build their skills.,The tool will have a negative impact on the developer job market.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Efforts to integrate to exisiting system.,Performance concern (e.g.; latency, time to get result from the tool).",,5,,,4,CI/CD pipeline,,New/junior developers,Software Developers,,Easy bugs,Both are equally severe.,Line level (the tool will suggest source code lines),2,3,1,Yes
Yes,36,Male,Masters,Yes,12,6,"Log Analysis,Text search based tools (e.g., grep).",,No,5,"Productivity increment,Training the new developers",,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,,"Performance concern (e.g.; latency, time to get result from the tool).",,6,,,5,CI/CD pipeline,,New/junior developers,Software Developers,,Easy bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,34,Male,Masters,Yes,10,4,"Reproducing the failing case,Assertion",,,4,Productivity increment,,"The tool will have a negative impact on the developer job market.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,6,,,2,CI/CD pipeline,,New/junior developers,Software Developers,,Easy bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),2,3,1,Yes
Yes,35,Male,Masters,Yes,11,3,"Reproducing the failing case,Assertion",,No,3,Productivity increment,,The tool will not let the developer build their skills.,,"Performance concern (e.g.; latency, time to get result from the tool).",,5,,,5,CI/CD pipeline,,New/junior developers,Software Developers,,Easy bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),2,3,1,Yes
Yes,35,Male,Masters,Yes,9,2,"Reproducing the failing case,Text search based tools (e.g., grep).",,,3,"Productivity increment,Training the new developers",,"The tool will not let the developer build their skills.,It will deprive the developers from other aspects of development (e.g., satisfaction of solving a problem)",,"Performance concern (e.g.; latency, time to get result from the tool).",,5,,,5,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.",Software Developers,,Easy bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),2,3,1,Yes
Yes,35,Male,Masters,Yes,10,3,"Reproducing the failing case,Text search based tools (e.g., grep).",,,3,Productivity increment,,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,Correctness of the tool in bug localization task.,,5,,,5,Developers' IDE,,New/junior developers,Software Developers,,Complex bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,36,Male,Bachelors,Yes,10,2,"Log Analysis,Text search based tools (e.g., grep).,Others",Sentry,,4,"Productivity increment,Training the new developers",,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Efforts to integrate to exisiting system.,Correctness of the tool in bug localization task.",,5,,,3,Developers' IDE,,New/junior developers,Software Developers,,Easy bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,35,Male,Bachelors,Yes,10,2,"Reproducing the failing case,Text search based tools (e.g., grep).",,,4,"Productivity increment,Training the new developers",,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,7,,,3,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.","Software Developers,Software Quality Assurance Engineers",,Easy bugs,Both are equally severe.,Line level (the tool will suggest source code lines),3,1,2,Yes
Yes,39,Male,Masters,Yes,12,4,"Reproducing the failing case,Using tools (e.g., GDB, LLVM, Hex Decoder),Text search based tools (e.g., grep).",,Yes,4,"Productivity increment,Training the new developers",,"The tool will not let the developer build their skills.,It will deprive the developers from other aspects of development (e.g., satisfaction of solving a problem)",,"Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,6,,,3,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.",Software Developers,,Easy bugs,Both are equally severe.,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,35,Male,Bachelors,Yes,11,3,"Reproducing the failing case,Text search based tools (e.g., grep).",,No,3,"Productivity increment,Training the new developers",,"The tool will have a negative impact on the developer job market.,It will deprive the developers from other aspects of development (e.g., satisfaction of solving a problem)",,"Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,4,,,5,"Developers' IDE,CI/CD pipeline",,"New/junior developers,Experienced/senior developers.",Software Developers,,Easy bugs,Both are equally severe.,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,36,Male,Masters,Yes,8,2,"Log Analysis,Reproducing the failing case,Text search based tools (e.g., grep).",,No,3,"Productivity increment,Training the new developers",,"The tool will not let the developer build their skills.,The tool will have a negative impact on the developer job market.",,"Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,4,,,3,"Developers' IDE,CI/CD pipeline",,"New/junior developers,Experienced/senior developers.",Software Developers,,Easy bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,35,Male,Masters,Yes,7,1,Reproducing the failing case,,No,5,Productivity increment,,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,Efforts to integrate to exisiting system.,,5,,,5,Developers' IDE,,"New/junior developers,Experienced/senior developers.",Software Developers,,Complex bugs,Both are equally severe.,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,41,Male,Bachelors,No,9,5,"Log Analysis,Reproducing the failing case,Assertion,Text search based tools (e.g., grep).",,No,4,Productivity increment,,"The tool will not let the developer build their skills.,It will deprive the developers from other aspects of development (e.g., satisfaction of solving a problem)",,"Efforts to integrate to exisiting system.,Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.,Correctness of the tool in bug localization task.",,5,,,5,CI/CD pipeline,,New/junior developers,Software Developers,,Complex bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,37,Male,Bachelors,Yes,14,4,"Log Analysis,Text search based tools (e.g., grep).",,No,4,Training the new developers,,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,,Correctness of the tool in bug localization task.,,6,,,5,CI/CD pipeline,,New/junior developers,Software Developers,,Easy bugs,Both are equally severe.,Line level (the tool will suggest source code lines),2,3,1,Yes
Yes,35,Female,Masters,Yes,8,3,"Log Analysis,Reproducing the failing case",,No,4,Training the new developers,,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,,"Disclosing proprietary intellectual property (e.g., codebase) to a third party tool.,Correctness of the tool in bug localization task.",,5,,,5,Developers' IDE,,New/junior developers,"Software Developers,Software Quality Assurance Engineers",,Easy bugs,,Method level (the tool will suggest method),3,1,2,Yes
Yes,40,Male,Bachelors,No,14,6,Reproducing the failing case,,No,5,Productivity increment,,"The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,It will deprive the developers from other aspects of development (e.g., satisfaction of solving a problem)",,"Efforts to integrate to exisiting system.,Correctness of the tool in bug localization task.",,7,,,5,CI/CD pipeline,,Experienced/senior developers.,Software Developers,,Complex bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),1,3,2,Yes
Yes,37,Male,Masters,Yes,,5,Reproducing the failing case,,No,4,"Productivity increment,Training the new developers",,"The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,It will deprive the developers from other aspects of development (e.g., satisfaction of solving a problem)",,"Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,4,,,5,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.",Software Developers,,Complex bugs,Both are equally severe.,Method level (the tool will suggest method),3,2,1,Yes
Yes,38,Male,Masters,No,13,2,"Log Analysis,Reproducing the failing case",,No,4,Training the new developers,,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,,"Efforts to integrate to exisiting system.,Correctness of the tool in bug localization task.",,10,,,10,CI/CD pipeline,,New/junior developers,Software Developers,,Easy bugs,Marking a buggy file as non-buggy (False negative).,Method level (the tool will suggest method),2,3,1,Yes
Yes,38,Female,Masters,Yes,11,3,"Reproducing the failing case,Using tools (e.g., GDB, LLVM, Hex Decoder)",,Yes,5,Productivity increment,,"The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,It will deprive the developers from other aspects of development (e.g., satisfaction of solving a problem)",,"Efforts to integrate to exisiting system.,Performance concern (e.g.; latency, time to get result from the tool).,Disclosing proprietary intellectual property (e.g., codebase) to a third party tool.,Correctness of the tool in bug localization task.",,10,,,5,,,New/junior developers,"Software Developers,Software Quality Assurance Engineers",,Complex bugs,Both are equally severe.,Method level (the tool will suggest method),3,2,1,Yes
Yes,40,Male,Bachelors,Yes,15,7,"Reproducing the failing case,Text search based tools (e.g., grep).",,No,3,"Productivity increment,Training the new developers",,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,,"Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,10,,,5,CI/CD pipeline,,New/junior developers,Software Developers,,Complex bugs,Both are equally severe.,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,38,Male,Bachelors,,14,6,"Assertion,Text search based tools (e.g., grep).",,No,5,"Productivity increment,Training the new developers",,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,10,,,2,CI/CD pipeline,,New/junior developers,Software Developers,,Complex bugs,Marking a buggy file as non-buggy (False negative).,Method level (the tool will suggest method),3,2,1,Yes
Yes,35,Male,Bachelors,No,12,2,"Reproducing the failing case,Using tools (e.g., GDB, LLVM, Hex Decoder)",,No,3,Training the new developers,,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,It will deprive the developers from other aspects of development (e.g., satisfaction of solving a problem)",,"Efforts to integrate to exisiting system.,Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,5,,,5,CI/CD pipeline,,New/junior developers,Software Developers,,Easy bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,34,Male,Masters,Yes,8,1,"Log Analysis,Reproducing the failing case",,No,3,Productivity increment,,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Efforts to integrate to exisiting system.,Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,5,,,5,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.",Software Developers,,Complex bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,34,Male,Masters,Yes,9,3,"Log Analysis,Reproducing the failing case,Assertion,Text search based tools (e.g., grep).",,No,3,Productivity increment,,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Performance concern (e.g.; latency, time to get result from the tool).,Correctness of the tool in bug localization task.",,4,,,5,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.",Software Developers,,Easy bugs,Both are equally severe.,,3,2,1,Yes
Yes,34,Male,Masters,Yes,6,3,"Log Analysis,Reproducing the failing case,Assertion",,No,4,"Productivity increment,Training the new developers",,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Performance concern (e.g.; latency, time to get result from the tool).,Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.",,,,,,CI/CD pipeline,,New/junior developers,Software Developers,,Complex bugs,Marking a buggy file as non-buggy (False negative).,,3,2,1,Yes
Yes,34,Male,Masters,Yes,8,2,"Log Analysis,Reproducing the failing case",,No,4,Productivity increment,,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Performance concern (e.g.; latency, time to get result from the tool).,Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.,Correctness of the tool in bug localization task.",,5,,,3,CI/CD pipeline,,New/junior developers,Software Developers,,Complex bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,35,Male,Bachelors,Yes,11,4,"Log Analysis,Reproducing the failing case,Assertion,Text search based tools (e.g., grep).,Others",lohstash,No,4,Productivity increment,,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,It will deprive the developers from other aspects of development (e.g., satisfaction of solving a problem)",,"Performance concern (e.g.; latency, time to get result from the tool).,Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.,Correctness of the tool in bug localization task.",,5,,,3,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.",Software Developers,,Complex bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,33,Male,Bachelors,No,9,3,"Assertion,Using tools (e.g., GDB, LLVM, Hex Decoder)",,No,4,Productivity increment,,"The tool will have a negative impact on the developer job market.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Performance concern (e.g.; latency, time to get result from the tool).,Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.,Disclosing proprietary intellectual property (e.g., codebase) to a third party tool.,Correctness of the tool in bug localization task.",,5,,,5,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.",Software Developers,,Easy bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,35,Non-binary / third gender,Bachelors,Yes,10,3,"Log Analysis,Reproducing the failing case,Text search based tools (e.g., grep).",,No,5,Productivity increment,,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Performance concern (e.g.; latency, time to get result from the tool).,Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.",,5,,,3,"Developers' IDE,CI/CD pipeline",,"New/junior developers,Experienced/senior developers.",Software Developers,,Complex bugs,,,3,2,1,Yes
Yes,33,Male,Bachelors,No,12,4,"Log Analysis,Reproducing the failing case,Text search based tools (e.g., grep).",,No,3,Productivity increment,,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Performance concern (e.g.; latency, time to get result from the tool).,Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.,Disclosing proprietary intellectual property (e.g., codebase) to a third party tool.",,6,,,3,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.",Software Developers,,Complex bugs,Both are equally severe.,Method level (the tool will suggest method),3,2,1,Yes
Yes,34,Male,Bachelors,Yes,10,4,"Reproducing the failing case,Text search based tools (e.g., grep).",,No,4,Productivity increment,,The tool will not let the developer build their skills.,,"Performance concern (e.g.; latency, time to get result from the tool).,Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.",,5,,,3,CI/CD pipeline,,New/junior developers,Software Developers,,Complex bugs,Marking a buggy file as non-buggy (False negative).,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,34,Male,Masters,Yes,11,3,"Reproducing the failing case,Text search based tools (e.g., grep).",,No,4,Productivity increment,,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,,"Performance concern (e.g.; latency, time to get result from the tool).,Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.,Disclosing proprietary intellectual property (e.g., codebase) to a third party tool.,Correctness of the tool in bug localization task.",,5,,,3,CI/CD pipeline,,"New/junior developers,Experienced/senior developers.",Software Developers,,Complex bugs,Marking a buggy file as non-buggy (False negative).,Method level (the tool will suggest method),3,2,1,Yes
Yes,39,Male,Bachelors,Yes,12,5,"Reproducing the failing case,Text search based tools (e.g., grep).",,No,4,Productivity increment,,"The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,It will deprive the developers from other aspects of development (e.g., satisfaction of solving a problem)",,"Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.,Disclosing proprietary intellectual property (e.g., codebase) to a third party tool.,Correctness of the tool in bug localization task.",,10,,,4,CI/CD pipeline,,Experienced/senior developers.,Software Developers,,Complex bugs,Both are equally severe.,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,35,Male,Bachelors,Yes,11,3,"Log Analysis,Reproducing the failing case,Text search based tools (e.g., grep).",,No,5,Productivity increment,,"The tool will not let the developer build their skills.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem,It will deprive the developers from other aspects of development (e.g., satisfaction of solving a problem)",,"Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.,Correctness of the tool in bug localization task.",,10,,,5,CI/CD pipeline,,New/junior developers,Software Developers,,Complex bugs,Both are equally severe.,Line level (the tool will suggest source code lines),3,2,1,Yes
Yes,26,Male,Bachelors,Yes,1,0,"Log Analysis,Reproducing the failing case,Assertion",,Yes,6,"Productivity increment,Training the new developers",,The tool will have a negative impact on the developer job market.,,"Efforts to integrate to exisiting system.,Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.",,15,,,10,Developers' IDE,,New/junior developers,Software Developers,,Complex bugs,Both are equally severe.,Method level (the tool will suggest method),1,3,2,Yes
Yes,27,Male,Bachelors,Yes,2,,"Assertion,Using tools (e.g., GDB, LLVM, Hex Decoder)",,Yes,7,Productivity increment,,"The tool will have a negative impact on the developer job market.,The tool will lead the developers to shortsighted solution by offering a  limited view of the problem",,"Experienced developers may choose to skip using this tool due to their strong sense of self-capability, leading them to believe they can outperform the tool.,Correctness of the tool in bug localization task.",,10,,,10,CI/CD pipeline,,New/junior developers,Software Developers,,Complex bugs,Both are equally severe.,Line level (the tool will suggest source code lines),3,2,1,Yes
